reg,clage_vacsi,jour,n_tot_dose1,n_tot_dose2,couv_tot_dose1,couv_tot_dose2
93,59,2021-02-21,24880,15922,3.7,2.3
93,64,2021-02-21,12891,7963,4.0,2.5
93,69,2021-02-21,10246,5272,3.3,1.7
93,74,2021-02-21,12127,5137,4.1,1.7
93,79,2021-02-21,43784,13966,20.4,6.5
93,80,2021-02-21,82917,30992,22.7,8.5
94,24,2021-02-21,39,15,0.2,0.1
94,29,2021-02-21,90,42,0.5,0.2
94,39,2021-02-21,343,161,0.8,0.4
94,49,2021-02-21,623,312,1.4,0.7
94,59,2021-02-21,1625,1020,3.4,2.1
94,64,2021-02-21,996,529,4.4,2.4
94,69,2021-02-21,1003,420,4.4,1.9
94,74,2021-02-21,1412,464,6.9,2.3
94,79,2021-02-21,4773,1321,29.6,8.2
94,80,2021-02-21,8590,2625,35.5,10.9
01,0,2021-02-21,2205,403,0.6,0.1
02,0,2021-02-21,3932,1422,1.1,0.4
03,0,2021-02-21,2338,736,0.8,0.3
04,0,2021-02-21,13942,2419,1.6,0.3
06,0,2021-02-21,3930,28,1.4,0.0
11,0,2021-02-21,357446,163212,2.9,1.3
24,0,2021-02-21,115907,49797,4.5,1.9
27,0,2021-02-21,143710,70125,5.2,2.5
28,0,2021-02-21,150775,79970,4.6,2.4
32,0,2021-02-21,175290,93410,2.9,1.6
44,0,2021-02-21,228159,103175,4.1,1.9
52,0,2021-02-21,148428,72903,3.9,1.9
53,0,2021-02-21,148209,62277,4.4,1.9
75,0,2021-02-21,280144,127425,4.7,2.1
76,0,2021-02-21,261309,116248,4.4,2.0
84,0,2021-02-21,301180,120478,3.7,1.5
93,0,2021-02-21,207951,91039,4.1,1.8
94,0,2021-02-21,19495,6909,5.7,2.0
